ID,Name,Content,Page_URL,Image_URL,Category,Annual_fee,Form
11,TMAP KB국민카드,"이용은 간편하게, 할인은 넉넉하게!",https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09389,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09389_img.png,"적립/할인,주유/충전",15000.0,"적립,할인"
12,KB Pay 챌린지카드,#간편결제 #택시 #편의점 #쇼핑 #배달,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09113,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09113_img.png,적립/할인,15000.0,"적립,할인"
13,마이핏카드(적립형),#간편결제 #택시 #편의점 #쇼핑 #배달,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09247,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09247_img.png,적립/할인,30000.0,"적립,할인"
14,톡톡 with 카드,,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09272,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09272_img.png,적립/할인,12000.0,"적립,할인"
15,toss KB국민카드,심플하고 쉽게 토스포인트 적립하는 방법!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04350,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04350_img.png,적립/할인,20000.0,"적립,할인"
16,마이핏카드(할인형),#외식 #편의점 #마트 #주유 #통신 #쇼핑 #배달,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09248,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09248_img.png,적립/할인,10000.0,"적립,할인"
17,Easy on카드,"Food on, Music on, Shopping on 모두 할인 Easy on!",https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09244,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09244_img.png,적립/할인,20000.0,"적립,할인"
18,삼성페이 KB국민카드,삼성 페이로 간편하게 할인받는 방법!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04434,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04434_img.png,적립/할인,15000.0,"적립,할인"
19,가온올림카드(실속형),"실적조건 없이 국내가맹점 적립, 해외가맹점 캐시백!",https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09157,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09157_img.png,적립/할인,20000.0,"적립,할인"
20,톡톡 Pay카드,똑똑하게 할인 “톡톡”!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09231,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09231_img.png,적립/할인,20000.0,"적립,할인"
21,가온글로벌카드,글로벌한 내 스타일을 담았다!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09167,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09167_img.png,적립/할인,20000.0,"적립,할인"
22,가온 Biz카드,"국내가맹점 기본적립, 사업지원영역 및 고액결제 추가적립!",https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09176,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09176_img.png,적립/할인,20000.0,"적립,할인"
23,금융포인트리카드,쓸 때마다 쌓이는 금융포인트로 다양한 종합금융 혜택을!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09040,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09040_img.png,적립/할인,10000.0,"적립,할인"
24,KB Pay 챌린지+카드,,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09114,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09114_img.png,적립/할인,30000.0,"적립,할인"
25,Wavve 카드,Wavve 이용권 결제 할 땐 !,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04287,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04287_img.png,적립/할인,15000.0,"적립,할인"
26,갤러리아 KB국민카드,갤러리아 혜택을 한 장에 담아,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04491,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04491_img.png,적립/할인,15000.0,"적립,할인"
27,LFmall 신용카드,스마트한 쇼핑 혜택,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09314,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09314_img.png,"적립/할인,쇼핑",15000.0,"적립,할인"
28,사장님카드,K-사장님의 든든한 사업 파트너,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09291,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09291_img.png,"적립/할인,쇼핑",20000.0,"적립,할인"
29,레고랜드매니아카드,레고에 진심인 분을 위한 혜택에 진심을 담은 카드,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=02228,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/02228_img.png,여행,100000.0,
30,레고랜드카드,"즐거운 레고랜드에서도, 평범한 일상에서도",https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=02229,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/02229_img.png,여행,20000.0,
31,스카이패스 티타늄 카드,대한항공 마일리지 기본적립에 해외/면세점 추가적립 혜택까지!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04285,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04285_img.png,여행,45000.0,적립
32,아시아나 올림카드,아시아나 마일리지 적립의 혜택을 올림,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09194,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09194_img.png,여행,30000.0,적립
33,Easy fly 티타늄카드,"여행은 Happy, 혜택은 Easy! Yes, you can fly!",https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09245,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09245_img.png,여행,35000.0,
34,제주항공 Refresh Point KB국민카드,합리적 여행자를 위한 Must Have 카드,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04420,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04420_img.png,여행,20000.0,
35,모두투어 투어마일리지 KB국민카드,,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04422,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04422_img.png,여행,15000.0,적립
36,하나투어 KB국민카드,신용카드와 하나투어 마일리지 클럽서비스를 하나로!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=01234,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/01234_img.png,여행,10000.0,적립
37,WE:SH Daily 카드,데일리 스탬프 모으면 늘어나는 혜택,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09570,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09570_img.png,"쇼핑,선택형",15000.0,
38,이마트II KB국민카드(옐로우),다시 새롭게! 이마트!!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04361,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04361_img.png,쇼핑,15000.0,
39,The CJ KB국민카드,계열사가 많은 알찬 CJ,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=01142,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/01142_img.png,쇼핑,10000.0,
40,탄탄대로 웰컴카드,국내 거주 외국인을 위한 일상에서 여가까지 다양한 할인 혜택!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09214,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09214_img.png,쇼핑,17000.0,할인
41,롯데마트 KB국민카드,행복드림 롯데마트에서 할인 혜택,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09180,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09180_img.png,쇼핑,15000.0,할인
42,CHALLENGE BAG KB국민카드,11번가에서 SK Pay 결제 하고 11% OK캐쉬백 적립!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04409,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04409_img.png,쇼핑,15000.0,적립
43,GS SHOP KB국민카드,"GS SHOP 12%, 월 최대 5만원 할인!",https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04431,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04431_img.png,쇼핑,25000.0,할인
44,AK KB국민카드,쇼핑에 강한 AK와 생활에 강한 KB의 특별한 만남!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04444,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04444_img.png,쇼핑,12000.0,
45,H.Point KB국민카드,현대백화점그룹 멤버십 혜택에 KB국민카드 혜택을 더하다!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04415,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04415_img.png,쇼핑,12000.0,
46,EV 카드,전기차 이용자라면 꼭 필요한!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=00230,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/00230_img.png,주유/충전,20000.0,
47,캐시노트 KB국민카드,캐시노트 월정액과 사업지원 할인을 동시에,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04291,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04291_img.png,주유/충전,20000.0,할인
48,EVO 티타늄카드,"Electric Vehicle Owners 전기차 오너들을 위한 친환경 생활, 기부 생활",https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09267,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09267_img.png,주유/충전,30000.0,
49,Easy auto 티타늄카드,주유·정비·생활·보험! Easy하게 적립을 타고 달리는 기분!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09246,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09246_img.png,주유/충전,30000.0,적립
50,E1 LPG KB국민카드,E1 충전소 할인은 기본! 풍성한 혜택으로 생활에너지 충전!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04459,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04459_img.png,주유/충전,20000.0,할인
51,SK에너지 러브유 KB국민카드,평소에는 주유비 할인 받고! 주말에는 캠핑 즐기고!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=02245,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/02245_img.png,주유/충전,12000.0,할인
52,GS행복가득카드,하나의 카드로 자동차관련 서비스를 한 번에!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04863,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04863_img.png,주유/충전,12000.0,
53,T-economy KB국민카드,SKT 통신요금을 알뜰하게 절약하는 방법!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04288,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04288_img.png,통신,15000.0,
54,CLiP카드,KT 모든 통신요금을 KB국민카드로 알뜰하게!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04489,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04489_img.png,통신,15000.0,
55,LGU＋ 심플라이트카드,KB국민카드로 통신료를 아끼자,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04482,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04482_img.png,통신,15000.0,
56,LG 헬로비전 카드,LG 헬로비전 요금 매월 할인 받는 방법!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=02170,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/02170_img.png,통신,15000.0,할인
57,Liiv M Ⅱ 카드,매월 Liiv M 통신비를 절약하는 방법!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04241,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04241_img.png,통신,15000.0,
58,kt M mobile카드,통신요금을 절약하는 방법!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04483,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04483_img.png,통신,15000.0,
59,KMVNO 알뜰폰 카드,매월 알뜰폰 통신비를 절약하는 방법!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04290,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04290_img.png,통신,15000.0,
60,U＋유모바일카드,통신요금을 절약하는 방법!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04484,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04484_img.png,통신,15000.0,
61,알뜰폰 Hub Ⅱ 카드,알뜰폰 통신비를 더 알뜰하게 절약하는 방법!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04324,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04324_img.png,통신,15000.0,
62,Easy ring 티타늄카드,"통신요금 할인은 기본, 다양한 혜택도 Easy!",https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09253,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09253_img.png,통신,30000.0,할인
63,스마트 지킴이카드,우리 가족의 안전을 지켜주는 스마트한 카드 생활!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09283,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09283_img.png,통신,15000.0,
64,알뜰폰Hub 카드,매월 알뜰폰 통신비를 절약하는 방법!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04323,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04323_img.png,통신,20000.0,
65,SK 7mobile카드,통신요금을 절약하는 방법!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04322,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04322_img.png,통신,15000.0,
66,딜라이브 카드,딜라이브 자동납부 요금 매월 할인 받는 방법!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04345,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04345_img.png,통신,15000.0,할인
67,토스모바일 KB국민카드,통신요금 매월 할인 받는 방법!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04351,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04351_img.png,통신,20000.0,
68,밀크T 카드,매월 학습비를 절약하는 방법!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04320,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/220608_04320_img.png,교육,15000.0,
69,웅진씽크빅 카드,웅진씽크빅 요금 매월 할인 받는 방법!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=02171,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/02171_img.png,교육,15000.0,할인
70,비상온리원 카드,비상온리원 요금 매월 할인 받는 방법!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=02210,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/02210_img.png,교육,15000.0,할인
71,에듀카드,교육비를 절약하는 현명한 선택!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04432,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04432_img.png,교육,35000.0,
72,KB손해보험 마이펫카드,금쪽같은 우리 아이들을 위한,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09383,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09383_img.png,의료,20000.0,
73,골든라이프올림카드,더욱 든든해진 혜택으로 당신의 골든라이프를 응원합니다!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04451,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04451_img.png,"의료,선택형",20000.0,
74,반려愛카드(강아지),반려동물을 사랑하는 마음. KB국민 반려애카드가 함께합니다!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04260,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04260_img.png,의료,13000.0,
75,KB국민 펫코노미 카드,반려동물을 사랑하는 현명한 방법!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04404,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04404_img.png,의료,30000.0,
76,랭킹닭컴 신용카드,랭킹은 알고 있다!!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04289,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04289_img.png,음식,15000.0,
77,요기패스 신용카드(가로형),구독료 부담은 No! 요기패스 혜택은 Yes!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04284,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04284_img.png,음식,15000.0,
78,굿데이올림카드,매일 매일 기분 좋은 할인 혜택으로 더 풍요로운 생활!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09063,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09063_img.png,음식,20000.0,할인
79,SK매직 올림카드,"렌탈 요금, 스마트하게 할인 받고 영화·놀이공원 할인까지!",https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04418,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04418_img.png,렌탈,15000.0,할인
80,교원 웰스 KB국민카드,웰스로 건강한 습관 ! KB국민카드로 알뜰한 습관 !,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04417,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04417_img.png,렌탈,12000.0,
81,청호나이스Ⅱ카드,렌탈 요금 매월 할인 받는 방법!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04336,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04336_img.png,렌탈,15000.0,할인
82,청호나이스 KB국민카드,"렌탈 요금, 스마트하게 할인 받고 영화·놀이공원 할인까지!",https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04416,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04416_img.png,렌탈,17000.0,할인
83,코웨이Ⅱ 카드,코웨이 더블 혜택! 렌탈료 할인과 적립을 동시에!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04423,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04423_img.png,렌탈,30000.0,"적립,할인"
84,넥센타이어 KB국민카드,"부담 없이 OK, 넥센타이어 렌탈 서비스!",https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04426,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04426_img.png,렌탈,14000.0,
85,예다함 카드,품격있는 상조서비스를 KB로 만납니다.,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04485,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04485_img.png,렌탈,15000.0,
86,LG전자 KB국민카드,LG전자 베스트샵 가전제품 / 렌탈 요금 할인!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04425,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04425_img.png,렌탈,15000.0,할인
87,웰릭스렌탈Ⅱ카드,렌탈요금 매월 할인 받는 방법!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04326,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04326_img.png,렌탈,15000.0,할인
88,쿠쿠렌탈Ⅱ카드,렌탈 요금 매월 할인 받는 방법!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04325,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04325_img.png,렌탈,15000.0,할인
89,세라젬 KB국민카드,렌탈 요금 매월 할인 받는 방법!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04331,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04331_img.png,렌탈,15000.0,할인
90,현대큐밍 KB국민카드,렌탈 요금 매월 할인 받는 방법!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04330,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04330_img.png,렌탈,15000.0,할인
91,탄탄대로 Biz카드,일상에서 사업까지 탄탄한 혜택!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09183,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09183_img.png,선택형,15000.0,
92,Easy all 티타늄카드,"Get all, Choose all. Easy all~!",https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09256,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09256_img.png,선택형,30000.0,
93,Easy all카드,"Get all, Choose all. Easy all~!",https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09255,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09255_img.png,선택형,20000.0,
94,Easy pick 티타늄카드,주요 생활 영역부터 내가 Pick한 영역까지 모두 적립 Easy!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09251,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09251_img.png,선택형,30000.0,적립
95,Easy pick카드,주요 생활 영역부터 내가 Pick한 영역까지 모두 적립 Easy!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09243,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09243_img.png,선택형,20000.0,적립
96,Easy link 티타늄카드,"자동납부 등록하면, 혜택이 더블 Easy!",https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09252,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09252_img.png,선택형,32000.0,
