ID,Name,Content,Page_URL,Image_URL,Category
34,골든대로 체크카드,건강하고 여유로운 생활을 위한 현명한 선택!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=01770,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/01770_img.png,교육/의료
35,레고랜드 체크카드,레고를 좋아한다면 꼭 체크해봐야 할 혜택!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=02231,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/02231_img.png,문화/레져
36,그린재킷 체크카드,골퍼들이 꿈꾸는 그린재킷을 내 손에,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09613,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09613_img.png,문화/레져
37,KB국민 티머니 노리 학생증 체크카드(그린_세로형),교통/통신 할인부터 커피숍과 영화관까지. 당신이 가는 곳곳마다 놀라운 할인 혜택!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=01965,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/01965_img.png,학생증
38,KB국민 티머니 노리 학생증 체크카드(블루_세로형),교통/통신 할인부터 커피숍과 영화관까지. 당신이 가는 곳곳마다 놀라운 할인 혜택!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=01964,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/01964_img.png,학생증
39,KB국민 티머니 노리 학생증 체크카드(세로형_퍼플),교통/통신 할인부터 커피숍과 영화관까지. 당신이 가는 곳곳마다 놀라운 할인 혜택!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=01952,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/01952_img.png,학생증
40,KB국민 티머니 노리 학생증체크카드(그린),교통/통신 할인부터 커피숍과 영화관까지. 당신이 가는 곳곳마다 놀라운 할인 혜택!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=01951,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/01951_img.png,학생증
41,KB국민 티머니 노리 학생증체크카드(퍼플),교통/통신 할인부터 커피숍과 영화관까지. 당신이 가는 곳곳마다 놀라운 할인 혜택!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=01950,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/01950_img.png,학생증
42,KB국민 티머니 노리 학생증체크카드(블루),교통/통신 할인부터 커피숍과 영화관까지. 당신이 가는 곳곳마다 놀라운 할인 혜택!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=01949,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/01949_img.png,학생증
43,나라사랑체크카드,꿈꾸고 즐기는 청춘을 위한 다양한 할인 혜택,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04120,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04120_img.png,공공/지원
44,국민행복체크카드,보육료 및 임신·출산 진료비 지원 등 국가바우처 지원 가능,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=02066,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/02066_img.png,공공/지원
45,KB국민 그린체크카드(전국형_서울제외),할인도 받고 녹색실천도 하고! 착한 혜택의 힘!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=02089,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/02089_img.png,공공/지원
46,히어로즈체크카드,청년제대군인 맞춤형 카드,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=01934,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/01934_img.png,공공/지원
