대출 종류,상품이름,url,조건,개설 채널,대출 금액
신용대출,KB 햇살론15 [2024.06.30. 판매중단],https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20001304&QSL=F,고금리대출의 대안상품,영업점,최고 2천만원이내
신용대출,KB 국민희망대출(제2금융권대환),https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20001336&QSL=F,제2금융권 신용대출 대환 전용 상품,영업점,최고 1억원
신용대출,서울특별시 노원구 협약대출,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000151&QSL=F,확정금리 2.0% 제공~!,영업점,최고 3천만원
신용대출,KB 사업자 가계행복대출[2021.03.30 판매중단],https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000059&QSL=F,자영업자 및 프리랜서 고객님들의 생활안정을 위한,영업점,최고 1억원
신용대출,KB Star*t 신용대출[2019.09.27 판매중단],https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000061&QSL=F,판매중단 상품,영업점,최고 5천만원
신용대출,KB 햇살론뱅크,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20001317&QSL=F,"정책서민금융상품 성실 상환 고객님을 위한 ""징검다리"" 상품",영업점,최고 2천5백만원 이내
신용대출,KB 바꿔드림론[2019.11.05 판매중단],https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000036&QSL=F,판매중단 상품,영업점,최고 보증서 대출예정금액
신용대출,KB 대학생·청년 햇살론[2020.05.14 판매중단],https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000043&QSL=F,판매중단상품,영업점,최고 보증서 대출예정금액
신용대출,KB 평생파트너 신용대출[2019.09.27 판매중단],https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000052&QSL=F,판매중단 상품,영업점,최고 1억5천만원
신용대출,KB WISE 직장인대출[2019.09.27 판매중단],https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000053&QSL=F,판매중단 상품,영업점,최고 1억5천만원
신용대출,KB 스마트 직장인대출[2019.09.27 판매중단],https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000056&QSL=F,판매중단 상품,영업점,최고 1억5천만원
신용대출,KB 가맹점대표 신용대출[2021.03.30 판매중단],https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000058&QSL=F,가맹점주의 성공을 지원하는,영업점,최고 1억5천만원
신용대출,KB 개인택시 행복대출,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000080&QSL=F,개인택시 사장님 생활지원,영업점,최고 5천만원
신용대출,KB사립학교교직원우대대출,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000048&QSL=F,사립학교 교직원 생활안정을 돕는,영업점,최고 3천만원
신용대출,KB 국민행복 신용대출[2020.5.29 판매중단],https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000054&QSL=F,소득 또는 거래실적을 통한 대출,영업점,최고 1억원
신용대출,KB 리더스 신용대출[2020.5.29 판매중단],https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000057&QSL=F,우량고객님께 만족을 드리는,영업점,최고 2억원
신용대출,KB 징검다리론,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000069&QSL=F,성실상환 고객을 위한 대출,영업점,최고 3천만원
신용대출,KB 주거래고객 우대대출[2019.02.27 판매중단],https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000097&QSL=F,판매중단 상품,영업점,최고 5천만원
신용대출,KB 안전망 대출[2019.11.05 판매중단],https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000102&QSL=F,판매중단 상품,영업점,최고 2천만원
신용대출,휴·폐업 개인사업자 신용대출에 대한 가계대출 채무조정프로그램,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000131&QSL=F,,영업점,최고 전환대출 신청시점의 대출잔액(이자 포함)
신용대출,채무조정프로그램,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000138&QSL=F,,영업점,
신용대출,KB 가업승계기업 상속/증여세 납부자금대출(신용)[2022.9.30 판매중단],https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000145&QSL=F,,영업점,최고 최고 3억원 이내
신용대출,KB 안전망대출II [2023.1.31 판매중단],https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20001305&QSL=F,연20% 초과 고금리 대출에 대한 대환상품,영업점,최고 2천만원
신용대출,부산광역시 동구 협약대출[2022.06.10 판매중단],https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000132&QSL=F,부산광역시 동구 융자추천고객 대상,영업점,최고 2천만원
담보대출,KB 청약(주택종합저축)담보대출,https://obank.kbstar.com/quics?page=C103557&cc=b104363:b104516&isNew=N&prcode=LN20000065&QSL=F,청약 상품을 담보로 받는,스타뱅킹,최고 납입액의 95% 이내
담보대출,당행 예부적금 등 수신금리연동담보대출,https://obank.kbstar.com/quics?page=C103557&cc=b104363:b104516&isNew=N&prcode=LN20000016&QSL=F,KB가입상품을 담보로 대출하는,스타뱅킹,최고 예부적금잔액의 95%
담보대출,KB 주택담보대출,https://obank.kbstar.com/quics?page=C103557&cc=b104363:b104516&isNew=N&prcode=LN20001160&QSL=F,혼합금리와 변동금리 중 선택이 가능한 주택담보대출,영업점,최고 대출가능금액 이내
담보대출,주택자금대출,https://obank.kbstar.com/quics?page=C103557&cc=b104363:b104516&isNew=N&prcode=LN20000144&QSL=F,시행(시공)사 협약에 의한 주택자금대출,영업점,최고 소요자금 이내
담보대출,KB 주택구입자금대출(집단 입주잔금대출),https://obank.kbstar.com/quics?page=C103557&cc=b104363:b104516&isNew=N&prcode=LN20001137&QSL=F,분양대금 잔금을 납부하려는 고객을 위한,영업점,최고 소요자금의 100% 이내(사업장별 승인한도 범위 내)
담보대출,사회적배려 대상자 특례보증 전세자금대출,https://obank.kbstar.com/quics?page=C103557&cc=b104363:b104516&isNew=N&prcode=LN20000109&QSL=F,서민층 주거안정을 지원하는,영업점,최고 4천5백만원
담보대출,임대주택 입주자 특례보증 전세자금대출,https://obank.kbstar.com/quics?page=C103557&cc=b104363:b104516&isNew=N&prcode=LN20000110&QSL=F,공공임대주택 입주자를 위한,영업점,최고 2억2천2백만원
담보대출,신용회복지원자 특례보증 주택전세자금대출,https://obank.kbstar.com/quics?page=C103557&cc=b104363:b104516&isNew=N&prcode=LN20000128&QSL=F,신용회복지원중인 고객님의 전세자금을 지원하는,영업점,최고 6천만원
담보대출,KB 일반부동산 담보대출,https://obank.kbstar.com/quics?page=C103557&cc=b104363:b104516&isNew=N&prcode=LN20001162&QSL=F,일반부동산(주택 제외)을 담보로 신청가능한 대출상품,영업점,최고 대출가능금액 이내
담보대출,KB스타 아파트담보대출(구입자금),https://obank.kbstar.com/quics?page=C103557&cc=b104363:b104516&isNew=N&prcode=LN20001350&QSL=F,KB 스타뱅킹 전용 아파트 담보대출,스타뱅킹,최고 최대 10억원
담보대출,한국주택금융공사 아낌e-보금자리론,https://obank.kbstar.com/quics?page=C103557&cc=b104363:b104516&isNew=N&prcode=LN20000101&QSL=F,주택 구입에 필요한 자금은,인터넷 | 스타뱅킹,최고 3.6억원
담보대출,KB골든라이프 공사주택연금론,https://obank.kbstar.com/quics?page=C103557&cc=b104363:b104516&isNew=N&prcode=LN20000011&QSL=F,평생거주와 연금지급을 정부가 보증,영업점,최고 보증서상의 보증금액
담보대출,KB나라사랑대출(주택자금),https://obank.kbstar.com/quics?page=C103557&cc=b104363:b104516&isNew=N&prcode=LN20000118&QSL=F,,영업점,최고 국가보훈부 추천금액
담보대출,임대주택중도금대출,https://obank.kbstar.com/quics?page=C103557&cc=b104363:b104516&isNew=N&prcode=LN20000119&QSL=F,,영업점,최고 소요자금이내
담보대출,당타행 예부적금 등 유가증권 담보대출,https://obank.kbstar.com/quics?page=C103557&cc=b104363:b104516&isNew=N&prcode=LN20000141&QSL=F,,영업점,최고 대출가능금액 이내
담보대출,KB 분할상환 모기지론,https://obank.kbstar.com/quics?page=C103557&cc=b104363:b104516&isNew=N&prcode=LN20000121&QSL=F,판매중단 상품,영업점,
담보대출,KB 경락주택구입자금대출,https://obank.kbstar.com/quics?page=C103557&cc=b104363:b104516&isNew=N&prcode=LN20000027&QSL=F,판매중단 상품,영업점,최고 대출가능금액 이내
담보대출,FOR YOU 장기대출,https://obank.kbstar.com/quics?page=C103557&cc=b104363:b104516&isNew=N&prcode=LN20000032&QSL=F,판매중단 상품,영업점,최고 대출가능금액 이내
담보대출,한국주택금융공사 U-보금자리론,https://obank.kbstar.com/quics?page=C103557&cc=b104363:b104516&isNew=N&prcode=LN20000089&QSL=F,주택 구입에 필요한 자금은,영업점,최고 3.6억원
담보대출,일반부동산 경락자금대출,https://obank.kbstar.com/quics?page=C103557&cc=b104363:b104516&isNew=N&prcode=LN20000122&QSL=F,판매중단 상품,영업점,
